Name,Unit,Expression,Value,Comments,Favorite
CutterHeight,mm,20 mm,20.00,,false
CutterThickness,mm,1 mm,1.00,,false
CutterReinforcementThickness,mm,4 mm,4.00,,false
CutterReinforcementHeight,mm,4 mm,4.00,,false
